timestamp	x	y	z	qw	qx	qy	qz
1762766160.855139	-7.412114	-7.724072	-4.083959	0.310106	-0.029299	-0.013600	-0.950153
1762766161.055650	-7.503312	-7.647079	-3.924455	0.295693	-0.069098	-0.041539	-0.951875
1762766161.255704	-7.634875	-7.613897	-3.762883	0.269814	-0.071183	-0.027083	-0.959896
1762766161.456027	-7.810973	-7.616813	-3.600919	0.236730	-0.060193	-0.016197	-0.969574
1762766161.656221	-8.036201	-7.644462	-3.433489	0.197301	-0.049063	-0.011165	-0.979051
1762766161.856373	-8.290785	-7.687639	-3.272136	0.155670	-0.041056	-0.007041	-0.986930
1762766162.056596	-8.575706	-7.741107	-3.114312	0.112152	-0.034795	-0.002071	-0.993079
1762766162.257064	-8.888373	-7.799348	-2.985453	0.067751	-0.025935	0.003637	-0.997359
1762766162.457113	-9.228017	-7.856808	-2.914062	0.022823	-0.011020	0.009093	-0.999637
1762766162.657820	-9.572102	-7.906242	-2.875446	0.020229	0.001116	-0.013572	0.999703
1762766162.858100	-9.913896	-7.945185	-2.852562	0.061147	-0.031429	-0.015595	0.997512
1762766163.058142	-10.245230	-7.974215	-2.846435	0.098541	-0.038624	-0.017026	0.994237
1762766163.258104	-10.525419	-7.990933	-2.856327	0.129238	-0.031881	-0.019345	0.990912
1762766163.458779	-10.789704	-7.995984	-2.881696	0.158235	-0.025261	-0.021439	0.986845
1762766163.658938	-11.025979	-7.987019	-2.919400	0.184818	-0.022234	-0.022263	0.982269
1762766163.859102	-11.237741	-7.964210	-2.965616	0.209704	-0.020069	-0.022221	0.977306
1762766164.059463	-11.433363	-7.927022	-3.017998	0.233666	-0.006832	-0.024169	0.971992
1762766164.259619	-11.618293	-7.872421	-3.072336	0.252324	0.033567	-0.030247	0.966587
1762766164.459851	-11.819304	-7.790236	-3.124802	0.264405	0.039607	-0.029559	0.963145
1762766164.660185	-12.049288	-7.675117	-3.172257	0.270488	0.029439	-0.027378	0.961883
1762766164.860631	-12.288466	-7.537263	-3.209869	0.271789	0.020696	-0.024583	0.961820
1762766165.060650	-12.537306	-7.377778	-3.237827	0.270301	0.014674	-0.016323	0.962525
1762766165.261463	-12.798638	-7.203670	-3.252661	0.266359	0.023430	0.032685	0.963035
1762766165.461119	-13.084579	-7.050828	-3.262294	0.260339	0.038872	0.104241	0.959086
1762766165.661453	-13.414378	-6.967142	-3.274345	0.257123	0.039440	0.109910	0.959298
1762766165.861692	-13.792789	-6.954293	-3.278151	0.257157	0.023193	0.054941	0.964528
1762766166.062171	-14.204130	-6.977444	-3.274455	0.257848	0.000696	-0.017875	0.966020
1762766166.262461	-14.612458	-6.988570	-3.269819	0.258717	-0.015613	-0.066801	0.963514
1762766166.462664	-15.002263	-6.955023	-3.260983	0.260830	-0.014894	-0.059639	0.963426
1762766166.662833	-15.356777	-6.881268	-3.248411	0.263146	-0.010491	-0.041588	0.963802
1762766166.863371	-15.699080	-6.776872	-3.234119	0.265046	-0.008739	-0.029379	0.963749
1762766167.063848	-16.017435	-6.656604	-3.219210	0.266585	-0.017609	-0.007534	0.963621
1762766167.263940	-16.337324	-6.530992	-3.180837	0.267663	-0.012073	0.053037	0.961976
1762766167.464213	-16.654707	-6.448095	-3.118427	0.267811	0.005666	0.107694	0.957417
1762766167.664842	-16.990650	-6.440555	-3.046229	0.267393	0.009746	0.100357	0.958298
1762766167.864752	-17.358578	-6.505055	-2.961802	0.266359	0.006740	0.074122	0.960996
1762766168.064813	-17.734907	-6.620493	-2.872997	0.265113	0.004109	0.055001	0.962639
1762766168.265450	-18.142733	-6.782521	-2.775784	0.264210	0.002521	0.042931	0.963506
1762766168.465671	-18.554773	-6.974384	-2.677673	0.264082	0.001166	0.035219	0.963856
1762766168.666117	-18.961691	-7.185439	-2.581406	0.264742	0.000812	0.029086	0.963880
1762766168.866363	-19.393236	-7.427605	-2.480467	0.266012	0.000928	0.023192	0.963690
1762766169.066371	-19.816538	-7.678958	-2.383689	0.267404	-0.001724	0.008945	0.963542
1762766169.266636	-20.243826	-7.937427	-2.313974	0.268082	-0.016481	-0.048879	0.962014
1762766169.466899	-20.639523	-8.155415	-2.286305	0.267450	-0.029978	-0.105726	0.957285
1762766169.667061	-20.998241	-8.307562	-2.251771	0.268368	-0.025889	-0.091492	0.958612
1762766169.867767	-21.317375	-8.402072	-2.168085	0.269233	-0.016565	-0.054754	0.961375
1762766170.068147	-21.613529	-8.461427	-2.050112	0.269193	-0.015913	-0.038587	0.962181
1762766170.268022	-21.901657	-8.495889	-1.921678	0.268269	-0.016818	-0.040520	0.962345
1762766170.468523	-22.153894	-8.499188	-1.818334	0.267024	-0.021487	-0.055719	0.961838
1762766170.668576	-22.375736	-8.462331	-1.764433	0.266355	-0.020955	-0.048938	0.962404
1762766170.868612	-22.570080	-8.391199	-1.736922	0.265941	-0.016794	-0.037659	0.963107
1762766171.069240	-22.748005	-8.291891	-1.716267	0.265951	-0.016481	-0.027983	0.963439
1762766171.269688	-22.901913	-8.177189	-1.704994	0.266154	-0.013543	-0.021400	0.963598
1762766171.469633	-23.042664	-8.047088	-1.703593	0.266634	-0.011301	-0.015559	0.963606
1762766171.670424	-23.171520	-7.908592	-1.712637	0.267459	-0.004957	0.013243	0.963466
1762766171.870397	-23.298380	-7.785409	-1.734397	0.267788	0.011083	0.080231	0.960068
1762766172.071211	-23.451132	-7.722106	-1.771414	0.266887	0.029847	0.150256	0.951475
1762766172.270950	-23.663204	-7.765623	-1.810957	0.267428	0.033786	0.156012	0.950264
1762766172.471223	-23.926779	-7.917475	-1.838951	0.268533	0.028197	0.127092	0.954433
1762766172.671866	-24.232826	-8.153988	-1.859296	0.268754	0.022917	0.100952	0.957630
1762766172.871736	-24.586639	-8.468885	-1.876129	0.268281	0.019437	0.082091	0.959640
1762766173.072008	-24.972172	-8.841574	-1.889864	0.267586	0.017206	0.067994	0.960978
